Order_ID,CustomerID,Order_Date,Product_Category,Quantity,Price_Per_Unit,Ad_Budget,Total_Sales
1001,5039,2023-08-19,Books,4,1184000.0,982000.0,4736000.0
1002,5029,2023-08-29,Fashion,5,1733000.0,3513000.0,8665000.0
1003,5015,2023-02-21,Fashion,4,1767000.0,2117000.0,7068000.0
1004,5043,2023-04-06,Fashion,2,512000.0,4384000.0,1024000.0
1005,5008,2023-08-10,Home Decor,2,1820000.0,2625000.0,3640000.0
1006,5021,2023-08-19,Books,5,1204000.0,4868000.0,6020000.0
1007,5039,2023-08-25,Electronics,4,733000.0,3049000.0,2932000.0
1008,5019,2023-05-23,Gadget,1,1431000.0,1197000.0,1431000.0
1009,5023,2023-06-20,Electronics,5,989000.0,4127000.0,4945000.0
1010,5011,2023-01-29,Gadget,2,787000.0,1791000.0,1574000.0
1011,5011,2023-02-05,Electronics,2,1425000.0,1803000.0,2850000.0
1012,5024,2023-01-13,Books,5,535000.0,256000.0,2675000.0
1013,5036,2023-06-09,Gadget,4,694000.0,2789000.0,2776000.0
1014,5040,2023-11-23,Home Decor,2,897000.0,2719000.0,1794000.0
1015,5024,2023-07-06,Electronics,4,545000.0,1844000.0,2180000.0
1016,5003,2023-08-31,Electronics,2,840000.0,4482000.0,1680000.0
1017,5022,2023-03-27,Gadget,2,1164000.0,731000.0,2328000.0
1018,5002,2023-10-11,Home Decor,3,1495000.0,1717000.0,4485000.0
1019,5024,2023-03-07,Home Decor,2,1546000.0,1676000.0,3092000.0
1020,5044,2023-06-19,Books,1,1654000.0,552000.0,1654000.0
1021,5030,2023-02-14,Home Decor,5,1501000.0,2458000.0,7505000.0
1022,5038,2023-03-03,Home Decor,5,1378000.0,3470000.0,6890000.0
1023,5002,2023-05-14,Home Decor,4,513000.0,2607000.0,
1024,5021,2023-10-11,Fashion,2,830000.0,869000.0,1660000.0
1025,5033,2023-01-28,Books,1,982000.0,1949000.0,982000.0
1026,5012,2023-04-18,Electronics,4,212000.0,113000.0,848000.0
1027,5022,2023-02-13,Gadget,3,1080000.0,4355000.0,3240000.0
1028,5044,2023-12-06,Electronics,4,901000.0,514000.0,3604000.0
1029,5025,2023-10-13,Books,4,1614000.0,3027000.0,6456000.0
1030,5049,2023-11-27,Gadget,2,1957000.0,4933000.0,3914000.0
1031,5027,2023-05-08,Books,3,1134000.0,2729000.0,3402000.0
1032,5042,2023-12-14,Home Decor,4,679000.0,4628000.0,2716000.0
1033,5028,2023-08-19,Gadget,1,135000.0,1257000.0,135000.0
1034,5016,2023-07-09,Home Decor,1,1853000.0,3824000.0,1853000.0
1035,5015,2023-08-13,Electronics,5,1842000.0,2703000.0,9210000.0
1036,5047,2023-10-10,Electronics,3,543000.0,3631000.0,1629000.0
1037,5044,2023-05-01,Gadget,3,1406000.0,405000.0,4218000.0
1038,5003,2023-04-26,Gadget,5,197000.0,824000.0,985000.0
1039,5037,2023-08-21,Books,4,374000.0,752000.0,1496000.0
1040,5007,2023-09-16,Books,3,473000.0,3467000.0,1419000.0
1041,5021,2023-12-25,Home Decor,1,624000.0,4238000.0,624000.0
1042,5009,2023-07-17,Gadget,1,1992000.0,3773000.0,1992000.0
1043,5039,2023-05-17,Electronics,2,1409000.0,249000.0,2818000.0
1044,5018,2023-11-14,Books,3,799000.0,4349000.0,2397000.0
1045,5004,2023-06-14,Books,4,1487000.0,1835000.0,5948000.0
1046,5025,2023-08-13,Electronics,5,1835000.0,2046000.0,9175000.0
1047,5014,2023-11-03,Books,5,1919000.0,614000.0,9595000.0
1048,5009,2023-08-22,Home Decor,4,163000.0,3713000.0,652000.0
1049,5026,2023-06-21,Gadget,2,819000.0,993000.0,1638000.0
1050,5002,2023-06-01,Electronics,5,258000.0,2863000.0,1290000.0
1051,5020,2023-11-11,Gadget,3,705000.0,4219000.0,2115000.0
1052,5028,2023-06-09,Books,2,381000.0,537000.0,762000.0
1053,5047,2023-04-06,Books,3,1311000.0,2723000.0,
1054,5007,2023-08-21,Electronics,1,807000.0,1243000.0,807000.0
1055,5044,2023-06-29,Home Decor,2,497000.0,1780000.0,994000.0
1056,5008,2023-04-23,Fashion,5,569000.0,2422000.0,2845000.0
1057,5047,2023-11-14,Electronics,2,753000.0,1840000.0,1506000.0
1058,5035,2023-02-21,Fashion,2,557000.0,3279000.0,1114000.0
1059,5014,2023-09-25,Fashion,2,934000.0,2450000.0,1868000.0
1060,5017,2023-10-22,Home Decor,2,113000.0,2963000.0,226000.0
1061,5036,2023-04-23,Fashion,3,596000.0,3710000.0,1788000.0
1062,5040,2023-04-11,Fashion,1,852000.0,2833000.0,852000.0
1063,5004,2023-04-23,Home Decor,4,1225000.0,2974000.0,
1064,5002,2023-03-22,Fashion,2,578000.0,2866000.0,1156000.0
1065,5006,2023-07-06,Fashion,5,310000.0,1956000.0,1550000.0
1066,5042,2023-04-23,Fashion,2,199000.0,1753000.0,398000.0
1067,5004,2023-01-02,Electronics,5,1884000.0,4508000.0,9420000.0
1068,5029,2023-05-10,Electronics,3,862000.0,3077000.0,2586000.0
1069,5018,2023-08-08,Electronics,5,1183000.0,1297000.0,5915000.0
1070,5026,2023-02-23,Home Decor,4,1842000.0,2541000.0,7368000.0
1071,5044,2023-12-09,Books,1,211000.0,1719000.0,211000.0
1072,5034,2023-08-12,Fashion,5,1759000.0,4675000.0,8795000.0
1073,5010,2023-08-13,Fashion,5,1126000.0,137000.0,5630000.0
1074,5036,2023-05-06,Home Decor,1,371000.0,1204000.0,371000.0
1075,5014,2023-05-10,Fashion,4,852000.0,1890000.0,3408000.0
1076,5031,2023-02-22,Electronics,2,1566000.0,2490000.0,3132000.0
1077,5048,2023-06-21,Books,5,987000.0,4269000.0,4935000.0
1078,5015,2023-08-06,Gadget,1,1971000.0,531000.0,1971000.0
1079,5008,2023-06-09,Fashion,3,785000.0,4049000.0,2355000.0
1080,5014,2023-07-17,Electronics,1,1512000.0,373000.0,1512000.0
1081,5023,2023-09-04,Gadget,3,816000.0,4227000.0,2448000.0
1082,5040,2023-11-20,Books,4,1667000.0,353000.0,6668000.0
1083,5021,2023-07-22,Gadget,2,1160000.0,189000.0,2320000.0
1084,5016,2023-07-03,Electronics,1,174000.0,3515000.0,174000.0
1085,5045,2023-05-03,Gadget,5,122000.0,4987000.0,610000.0
1086,5018,2023-09-12,Home Decor,4,311000.0,4493000.0,1244000.0
1087,5047,2023-10-21,Gadget,1,77000.0,2922000.0,77000.0
1088,5024,2023-10-07,Fashion,5,197000.0,4595000.0,985000.0
1089,5026,2023-11-21,Fashion,1,1399000.0,126000.0,1399000.0
1090,5025,2023-04-08,Home Decor,3,1092000.0,4878000.0,3276000.0
1091,5045,2023-07-17,Electronics,1,1512000.0,2505000.0,1512000.0
1092,5041,2023-08-28,Fashion,1,1831000.0,3642000.0,1831000.0
1093,5029,2023-05-24,Books,1,1191000.0,4122000.0,1191000.0
1094,5015,2023-04-07,Fashion,4,1466000.0,3620000.0,5864000.0
1095,5045,2023-07-20,Fashion,1,1526000.0,2722000.0,1526000.0
1096,5001,2023-05-04,Electronics,5,787000.0,2435000.0,3935000.0
1097,5025,2023-07-06,Gadget,3,520000.0,4209000.0,
1098,5007,2023-11-22,Fashion,3,450000.0,1105000.0,1350000.0
1099,5009,2023-12-15,Home Decor,1,540000.0,4843000.0,540000.0
1100,5024,2023-09-16,Gadget,4,586000.0,3584000.0,2344000.0
1101,5001,2023-05-28,Books,4,454000.0,1078000.0,1816000.0
1102,5044,2023-09-09,Electronics,5,1763000.0,3708000.0,8815000.0
1103,5008,2023-12-12,Books,1,1526000.0,2696000.0,1526000.0
1104,5024,2023-05-27,Gadget,3,141000.0,3565000.0,
1105,5011,2023-05-28,Gadget,4,574000.0,3862000.0,2296000.0
1106,5017,2023-12-18,Gadget,1,93000.0,528000.0,93000.0
1107,5008,2023-07-18,Books,4,1021000.0,2580000.0,4084000.0
1108,5035,2023-11-04,Gadget,4,979000.0,4667000.0,3916000.0
1109,5035,2023-05-08,Books,3,1671000.0,1671000.0,5013000.0
1110,5033,2023-02-08,Gadget,2,650000.0,3010000.0,1300000.0
1111,5005,2023-12-04,Home Decor,5,1642000.0,1909000.0,8210000.0
1112,5042,2023-12-26,Gadget,5,1938000.0,2326000.0,9690000.0
1113,5039,2023-05-09,Books,3,222000.0,2788000.0,666000.0
1114,5041,2023-09-24,Fashion,4,1594000.0,2790000.0,6376000.0
1115,5028,2023-05-31,Gadget,1,1200000.0,1088000.0,1200000.0
1116,5007,2023-10-25,Fashion,4,986000.0,3454000.0,3944000.0
1117,5009,2023-04-09,Home Decor,3,870000.0,531000.0,2610000.0
1118,5008,2023-09-20,Electronics,5,1580000.0,780000.0,7900000.0
1119,5012,2023-09-09,Home Decor,4,1297000.0,113000.0,5188000.0
1120,5034,2023-05-24,Gadget,5,1620000.0,672000.0,8100000.0
1121,5033,2023-12-12,Fashion,1,1811000.0,2419000.0,1811000.0
1122,5048,2023-04-22,Fashion,5,1254000.0,3070000.0,6270000.0
1123,5023,2023-03-01,Books,5,1962000.0,3992000.0,9810000.0
1124,5024,2023-01-02,Fashion,2,1236000.0,623000.0,2472000.0
1125,5037,2023-10-31,Books,2,1291000.0,4269000.0,2582000.0
1126,5035,2023-09-11,Electronics,2,1132000.0,3755000.0,2264000.0
1127,5044,2023-05-20,Gadget,5,227000.0,2102000.0,1135000.0
1128,5040,2023-02-06,Books,3,1466000.0,4671000.0,4398000.0
1129,5022,2023-06-09,Electronics,5,1118000.0,4956000.0,5590000.0
1130,5027,2023-01-09,Fashion,3,929000.0,1105000.0,2787000.0
1131,5035,2023-08-21,Fashion,3,1825000.0,1958000.0,5475000.0
1132,5001,2023-04-09,Electronics,2,631000.0,4640000.0,1262000.0
1133,5035,2023-05-27,Fashion,4,1071000.0,3636000.0,4284000.0
1134,5037,2023-10-31,Electronics,1,1410000.0,336000.0,1410000.0
1135,5047,2023-07-27,Books,2,1603000.0,3929000.0,3206000.0
1136,5014,2023-05-11,Books,2,946000.0,4157000.0,1892000.0
1137,5003,2023-06-01,Electronics,4,1692000.0,3777000.0,6768000.0
1138,5001,2023-02-23,Books,1,1549000.0,4018000.0,1549000.0
1139,5005,2023-04-30,Books,5,179000.0,4143000.0,895000.0
1140,5026,2023-06-10,Books,5,139000.0,1013000.0,695000.0
1141,5014,2023-04-26,Home Decor,2,1261000.0,1255000.0,2522000.0
1142,5039,2023-03-16,Gadget,1,727000.0,3205000.0,727000.0
1143,5027,2023-04-23,Fashion,2,458000.0,4549000.0,
1144,5009,2023-04-14,Home Decor,3,1180000.0,1649000.0,3540000.0
1145,5015,2023-12-06,Books,2,716000.0,2983000.0,
1146,5015,2023-09-11,Electronics,2,1098000.0,3447000.0,2196000.0
1147,5026,2023-08-15,Books,5,947000.0,2315000.0,4735000.0
1148,5042,2023-04-22,Gadget,5,1190000.0,3598000.0,5950000.0
1149,5013,2023-04-09,Books,5,831000.0,4508000.0,4155000.0
1150,5032,2023-06-02,Electronics,3,1410000.0,3158000.0,4230000.0